Analysis;Component;Eenheid;Text-ID 1;Datum 1;Text-ID 2;Datum 2;Project;Matrix;Product grade;Meting 1;Meting 2;Gemiddelde (x);Ratio;Absoluut verschil;Relatief verschil;SD;CV
TEXTUUR_LD_LS13320_V;FRAC.6.50µm;PCT_V;23-010917;8/02/2024 10:04;24-005002;26/04/2024 18:47;V-23V057-23;BODEM;NA;59;59;59;1;0;0;;
TEXTUUR_LD_LS13320_V;FRAC.6.50µm;PCT_V;23-010933;8/02/2024 10:05;24-005004;26/04/2024 18:47;V-23V057-23;BODEM;NA;4,1;4,3;4,2;1,04878;0,2;4,76191;;
TEXTUUR_LD_LS13320_V;FRAC.6.50µm;PCT_V;ZZZZZZ;;D-ZZZZZZ-1;;;;;;;;;;;1,34691;8,076
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001433;20/09/2023 11:55;24-004976;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;86,2;84,1;85,15;0,97564;-2,1;2,46623;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001448;20/09/2023 11:55;24-004978;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;35;32,1;33,55;0,91714;-2,9;8,64382;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001464;20/09/2023 10:57;24-004980;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;9,2;7,9;8,55;0,8587;-1,3;15,20468;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001530;25/09/2023 8:49;24-004970;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;51,1;53,3;52,2;1,04305;2,2;4,21456;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001551;25/09/2023 8:40;24-004972;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;85;83,7;84,35;0,98471;-1,3;1,5412;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-001555;25/09/2023 8:41;24-004974;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;91,1;90,3;90,7;0,99122;-0,8;0,88202;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004728;28/09/2023 14:12;24-004982;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;82,6;79,6;81,1;0,96368;-3;3,69914;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004746;28/09/2023 14:12;24-004984;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;77,1;70,1;73,6;0,90921;-7;9,51087;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004747;28/09/2023 14:12;24-004986;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;72,6;75,4;74;1,03857;2,8;3,78379;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004754;24/10/2023 14:41;24-004988;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;9,1;8,2;8,65;0,9011;-0,9;10,40463;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004787;24/10/2023 14:41;24-004990;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;89,1;91;90,05;1,02132;1,9;2,10994;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004805;24/10/2023 14:42;24-004992;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;66,6;71,1;68,85;1,06757;4,5;6,53595;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004911;10/11/2023 8:26;24-004994;26/04/2024 18:47;V-23V057-16;BODEM;NA;78,7;77,2;77,95;0,98094;-1,5;1,92431;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004914;10/11/2023 8:26;24-004996;26/04/2024 18:47;V-23V057-16;BODEM;NA;77,7;83,5;80,6;1,07465;5,8;7,19603;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-004942;14/11/2023 6:24;24-004998;26/04/2024 18:47;V-23V057-16;BODEM;NA;84,6;85,4;85;1,00946;0,8;0,94118;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-010912;8/02/2024 10:04;24-005000;26/04/2024 18:47;V-23V057-23;BODEM;NA;26,8;27;26,9;1,00746;0,2;0,7435;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-010917;8/02/2024 10:04;24-005002;26/04/2024 18:47;V-23V057-23;BODEM;NA;14;13,4;13,7;0,95714;-0,6;4,37956;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;23-010933;8/02/2024 10:05;24-005004;26/04/2024 18:47;V-23V057-23;BODEM;NA;91;91,2;91,1;1,0022;0,2;0,21954;;
TEXTUUR_LD_LS13320_V;FRAC.63.2000µm;PCT_V;ZZZZZZ;;D-ZZZZZZ-1;;;;;;;;;;;2,03552;4,355
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001433;20/09/2023 11:55;24-004976;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;4,2;6,3;5,25;1,5;2,1;40,00001;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001448;20/09/2023 11:55;24-004978;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;11,1;15,6;13,35;1,40541;4,5;33,70786;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001464;20/09/2023 10:57;24-004980;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;26;28,4;27,2;1,09231;2,4;8,82353;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001530;25/09/2023 8:49;24-004970;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;12,5;12,9;12,7;1,032;0,4;3,1496;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001551;25/09/2023 8:40;24-004972;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;4,5;6,1;5,3;1,35556;1,6;30,18868;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-001555;25/09/2023 8:41;24-004974;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;3;3,5;3,25;1,16667;0,5;15,38462;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004728;28/09/2023 14:12;24-004982;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;6,9;9,6;8,25;1,3913;2,7;32,72728;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004746;28/09/2023 14:12;24-004984;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;4,6;9;6,8;1,95652;4,4;64,70588;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004747;28/09/2023 14:12;24-004986;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;7,6;7,8;7,7;1,02632;0,2;2,59741;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004754;24/10/2023 14:41;24-004988;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;16,9;21,8;19,35;1,28994;4,9;25,323;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004787;24/10/2023 14:41;24-004990;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;3,6;2,9;3,25;0,80556;-0,7;21,53846;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004805;24/10/2023 14:42;24-004992;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;17,8;15;16,4;0,8427;-2,8;17,07317;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004911;10/11/2023 8:26;24-004994;26/04/2024 18:47;V-23V057-16;BODEM;NA;6,5;8,9;7,7;1,36923;2,4;31,16883;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004914;10/11/2023 8:26;24-004996;26/04/2024 18:47;V-23V057-16;BODEM;NA;3,1;2,6;2,85;0,83871;-0,5;17,54386;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-004942;14/11/2023 6:24;24-004998;26/04/2024 18:47;V-23V057-16;BODEM;NA;4,7;4,4;4,55;0,93617;-0,3;6,5934;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-010912;8/02/2024 10:04;24-005000;26/04/2024 18:47;V-23V057-23;BODEM;NA;14,6;14,3;14,45;0,97945;-0,3;2,07613;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-010917;8/02/2024 10:04;24-005002;26/04/2024 18:47;V-23V057-23;BODEM;NA;15,8;16,8;16,3;1,06329;1;6,13496;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;23-010933;8/02/2024 10:05;24-005004;26/04/2024 18:47;V-23V057-23;BODEM;NA;3,7;3,2;3,45;0,86486;-0,5;14,49275;;
TEXTUUR_LD_LS13320_V;KLEI.04.6µm;PCT_V;ZZZZZZ;;D-ZZZZZZ-1;;;;;;;;;;;1,6655;18,415
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001433;20/09/2023 11:55;24-004976;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;9,6;9,6;9,6;1;0;0;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001448;20/09/2023 11:55;24-004978;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;53,8;52,3;53,05;0,97212;-1,5;2,82752;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001464;20/09/2023 10:57;24-004980;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;64,7;63,7;64,2;0,98454;-1;1,55763;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001530;25/09/2023 8:49;24-004970;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;36,4;33,8;35,1;0,92857;-2,6;7,40741;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001551;25/09/2023 8:40;24-004972;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;10,5;10,2;10,35;0,97143;-0,3;2,89855;;
